Food Name,Measure,Weight (g),Energy (kcal),Energy (kJ),Protein (g),Carbohydrate (g),Total Sugar (g),Total Dietary Fibre (g),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Calcium (mg),Iron (mg),Sodium (mg),Potassium (mg),Magnesium (mg),Phosphorus (mg),Thiamin (mg),Riboflavin (mg),Niacin (NE),Folate (DFE)
Chickpea flour,125 mL,49,188,786,11,28,5,5.2,3,0.3,0,22,2.4,31,411,81,155,0.2,0.05,2.9,212
"Cornmeal, dry",125 mL,73,267,1116,6,57,1,5.4,1,0.2,0,4,0.8,2,118,29,61,0.1,0.04,1.9,35
"Oat bran, dry",125 mL,50,122,511,9,33,1,5.2,3,0.7,0,29,2.7,2,281,117,365,0.6,0.11,3.2,26
Oat flour,125 mL,53,200,838,7,35,1,5.3,4,0.7,0,27,2.2,2,199,78,226,0.3,0.08,1.8,15
Potato flour,125 mL,85,302,1262,6,70,3,0.1,0,0.1,0,55,1.2,46,846,55,142,0.2,0.04,4.6,21
Rice flour,125 mL,83,305,1278,5,67,0,2,1,0.3,0,8,0.3,0,63,29,82,0.1,0.02,3.2,3
"Rye flour, light",125 mL,54,198,827,5,43,1,7.9,1,0.1,0,11,1,1,126,38,105,0.2,0.05,1.3,12
Soy flour,125 mL,53,174,729,25,20,11,9.2,1,0.1,0,127,4.9,11,1259,153,356,0.4,0.13,7.4,161
Wheat bran,15 mL,4,8,33,1,2,0,1.6,0,0,0,3,0.4,0,43,22,37,0,0.02,0.7,3
"Wheat flour, all purpose",125 mL,66,240,1005,7,50,0,2,1,0.1,0,10,3.1,1,71,15,71,0.5,0.33,5.3,192
"Wheat flour, bread",125 mL,72,261,1093,9,52,0,1.7,1,0.2,0,11,3.2,1,72,18,70,0.6,0.37,7.1,208
"Wheat flour, cake",125 mL,72,262,1096,6,56,0,1.2,1,0.1,0,10,5.3,1,76,12,62,0.6,0.31,6.3,204
"Wheat flour, whole grain",125 mL,63,215,899,9,46,0,7.7,1,0.2,0,22,2.5,3,257,87,219,0.3,0.14,6.3,28
"Wheat germ, toasted",15 mL,7,27,114,2,4,1,1.1,1,0.1,0,3,0.7,0,68,23,82,0.1,0.06,0.9,25
"Bagel, plain (10 cm diam)",1,71,195,817,7,38,4,1.6,1,0.2,0,53,2.5,379,72,21,68,0.4,0.22,4.7,117
"Bread, French or Vienna",1 slice,35,96,401,3,18,0,1.1,1,0.2,0,26,0.9,213,40,9,37,0.2,0.12,2.3,80
"Bread, Italian",1 slice,35,95,397,3,18,0,0.9,1,0.3,0,27,1,204,39,9,36,0.2,0.1,2.1,106
"Bread, mixed-grain",1 slice,35,88,366,4,16,4,2.2,1,0.3,0,32,1.2,170,71,19,62,0.1,0.12,2.3,58
"Bread, naan",2-Jan,63,192,803,7,36,2,1.4,2,0.8,3,78,2.3,208,115,16,89,0.3,0.33,5.6,115
"Bread, oatmeal",1 slice,35,94,394,3,17,3,1.4,2,0.2,0,23,0.9,210,50,13,44,0.1,0.08,1.8,30
"Bread, pita, white (17 cm diam)",1,60,165,690,5,33,1,1.3,1,0.1,0,52,1.6,322,72,16,58,0.4,0.2,3.8,99
"Bread, pita, whole wheat (17 cm diam)",1,64,170,712,6,35,1,4.7,2,0.3,0,10,2,340,109,44,115,0.2,0.05,3.4,22
"Bread, pumpernickel",1 slice,35,88,366,3,17,0,2.3,1,0.2,0,24,1,235,73,19,62,0.1,0.11,1.6,47
"Bread, raisin",1 slice,35,96,401,3,18,2,1.5,2,0.4,0,23,1,137,79,9,38,0.1,0.14,1.7,55
"Bread, rye",1 slice,35,91,379,3,17,1,2,1,0.2,0,26,1,231,58,14,44,0.2,0.12,1.9,53
"Bread, white, Calorie-reduced",1 slice,35,72,303,3,16,2,3.4,1,0.2,0,33,1.1,159,27,8,42,0.1,0.1,1.9,48
"Bread, white, commercial",1 slice,35,93,389,3,18,2,0.8,1,0.3,0,53,1.3,238,35,8,35,0.2,0.12,2.1,60
"Bread, white, homemade with 2% milk",1 slice,35,100,417,3,17,,0.7,2,0.4,1,20,1,126,51,7,40,0.1,0.13,1.8,44
"Bread, whole wheat, commercial",1 slice,35,86,360,3,16,7,2.4,1,0.3,0,25,1.2,184,88,30,80,0.1,0.07,2.2,18
"Bread, whole wheat, homemade with 2% milk",1 slice,35,97,407,3,18,1,2.1,2,0.3,0,12,1.1,121,110,28,65,0.1,0.08,2.1,27
"English muffin, white, toasted",1,52,133,554,4,26,2,1.5,1,0.1,0,98,1.4,262,74,11,75,0.2,0.14,2.8,65
"English muffin, whole wheat, toasted",1,52,126,528,5,25,1,2.6,1,0.2,0,100,1.6,216,105,22,65,0.2,0.15,2.8,41
Fry bread,1,37,122,511,2,18,1,1,5,1.7,3,21,1.5,122,28,7,46,0.2,0.08,2.2,73
"Roll, crusty (kaiser)",1,57,167,698,6,30,1,1.3,2,0.3,0,54,1.9,310,62,15,57,0.3,0.19,3.5,86
"Roll, dinner, white",1,28,85,356,2,14,2,0.9,2,0.5,0,34,0.9,148,38,7,33,0.1,0.09,1.6,41
"Roll, dinner, whole wheat",1,28,75,315,2,14,2,2.1,1,0.2,0,30,0.7,136,77,24,64,0.1,0.04,1.7,9
"Roll, hamburger or hotdog, white",1,43,120,502,4,21,3,0.9,2,0.5,0,59,1.4,206,40,9,27,0.2,0.14,2.5,73
"Roll, hamburger or hotdog, whole wheat",1,43,113,473,4,19,3,1.6,3,0.6,0,41,1.7,197,69,19,52,0.2,0.13,2.8,74
"Bread stick, plain (19 cm X 2 cm)",1,10,41,172,1,7,0,0.3,1,0.1,0,2,0.4,66,12,3,12,0.1,0.06,0.8,25
"Bread stuffing, dry mix, prepared",125 mL,106,188,786,3,23,2,3.1,9,1.8,0,34,1.2,574,78,13,44,0.1,0.11,2.3,56
Dumpling,1 dumpling,35,69,289,1,8,0,0.3,4,1,1,23,0.4,138,23,3,22,0.1,0.06,0.8,19
"Matzo, plain",1,28,112,468,3,24,0,0.9,0,0.1,0,4,0.9,1,32,7,25,0.1,0.08,1.7,5
"Taco shell, baked (13 cm diam)",1 shell,13,61,254,1,8,0,1,3,0.4,0,21,0.3,48,23,14,32,0,0.01,0.3,28
"Tortilla, corn (15 cm diam)",1,19,41,173,1,8,0,1.2,1,0.1,0,15,0.2,9,35,14,60,0,0.01,0.4,1
"Pancake, buckwheat, prepared from mix (13 cm diam)",1,40,73,305,3,10,2,1.1,3,0.6,20,89,0.7,191,80,27,143,0.1,0.09,1.2,9
